Designator,Mid X,Mid Y,Rotation,Layer
C1,160.15,-81.15,90.0,top
C10,159.287,-101.852,180.0,top
C11,142.327,-82.09,180.0,top
C12,151.879,-107.705,270.0,top
C13,161.192,-75.763,90.0,top
C14,163.036,-105.453,0.0,top
C15,158.17,-80.46,180.0,top
C16,157.61,-81.69,180.0,top
C17,148.723,-103.56,315.0,top
C18,147.8,-93.4,135.0,top
C19,142.85,-97.69,270.0,top
C2,155.116,-107.713,270.0,top
C20,156.97,-90.27,225.0,top
C21,159.36,-90.33,315.0,top
C22,158.26,-90.92,315.0,top
C23,159.13,-97.64,90.0,top
C24,158.2,-97.64,90.0,top
C25,157.6,-91.58,315.0,top
C26,143.78,-97.69,270.0,top
C27,151.99,-103.09,225.0,top
C28,155.6,-93.71,0.0,top
C29,149.2,-92.2,135.0,top
C3,148.0,-83.8,90.0,top
C30,149.9,-91.5,135.0,top
C31,154.275,-92.9,45.0,top
C32,152.95,-92.2,135.0,top
C35,152.7,-103.8,45.0,top
C4,148.45,-82.336,180.0,top
C5,152.8,-82.808,0.0,top
C6,119.854,-83.937,90.0,bottom
C7,120.421,-97.266,90.0,bottom
D1,151.0,-64.8,90.0,top
D10,149.22,-69.0,90.0,top
D2,145.835,-84.82,0.0,top
D3,152.79,-69.0,90.0,top
D4,164.725,-105.142,270.0,top
D5,165.95,-105.5,180.0,top
D8,151.6,-69.0,90.0,top
D9,150.41,-69.0,90.0,top
IC1,151.017883,-97.577153,225.0,top
IC2,150.6,-85.45,180.0,top
IC3,123.115,-83.938,270.0,top
IC4,123.68,-97.26,270.0,top
IC5,157.94,-84.66,0.0,top
IC6,158.603,-74.521,270.0,top
J1,143.08,-106.59,0.0,top
J2,165.672,-107.659,0.0,top
L1,156.3,-92.25,225.0,top
M1,155.975,-82.9,270.0,top
M2,155.975,-85.961,270.0,top
M3,145.32,-81.93,0.0,top
Q1,142.94,-68.32,0.0,top
Q2,159.1194,-68.339986,180.0,top
Q3,143.31,-79.6,0.0,top
Q4,149.28,-107.6842,270.0,top
R1,159.7,-77.122,180.0,top
R10,160.061,-66.518,180.0,top
R11,159.099,-70.227,180.0,top
R12,160.378,-65.217,180.0,top
R13,156.841,-66.707,0.0,top
R14,156.6,-69.003,180.0,top
R15,154.7,-60.9,90.0,top
R17,141.7,-77.35,90.0,top
R18,146.57,-102.76,315.0,top
R19,148.04,-104.24,315.0,top
R2,158.1,-77.586,90.0,top
R20,142.136,-103.364,90.0,top
R22,148.0,-85.65,270.0,top
R23,158.342,-103.057,180.0,top
R24,155.62,-91.56,225.0,top
R25,152.42,-67.05,270.0,top
R26,151.475,-67.05,270.0,top
R3,158.4,-93.9,270.0,top
R30,150.53,-67.05,270.0,top
R31,149.59,-67.05,270.0,top
R4,140.66,-68.03,90.0,top
R5,143.67,-66.45,180.0,top
R6,147.3,-60.9,90.0,top
R7,140.6398,-70.0532,0.0,top
R8,145.12,-69.11,270.0,top
R9,141.06,-66.24,0.0,top
SW1,137.82,-105.42,0.0,top
SW2,167.5638,-105.0798,0.0,top
U1,151.0,-61.2,270.0,top
U2,140.86,-60.19,54.0,top
U3,136.82,-62.51,7.0,top
U4,165.18,-62.51,353.0,top
U5,161.135267,-60.185049,306.0,top
U6,158.565,-106.6,90.0,top
U7,154.5336,-101.7778,45.0,top
