Designator,Mid X,Mid Y,Rotation,Layer
C10,161.9,-109.5,270.0,top
C11,160.7,-108.9,270.0,top
C12,140.9,-109.2,0.0,top
C13,143.4,-77.0,0.0,top
C14,143.6,-75.9,0.0,top
C15,142.8,-93.1,0.0,top
C16,149.3,-91.6,90.0,top
C17,167.56,-101.53,270.0,top
C18,166.63,-101.51,270.0,top
C19,168.51,-99.39,270.0,top
C2,137.0,-109.2,180.0,top
C20,166.63,-103.28,90.0,top
C23,150.8,-91.6,90.0,top
C24,140.46,-95.93,90.0,top
C25,157.99,-93.09,90.0,top
C27,146.81,-80.5,180.0,top
C28,144.8,-79.05,0.0,top
C29,155.0,-79.0,0.0,top
C3,139.0,-109.2,0.0,top
C30,157.0,-80.4,180.0,top
C4,126.113553,-107.49699,270.0,top
C5,163.3,-106.41,90.0,top
C6,167.2,-105.6,0.0,top
C7,165.04,-105.53,180.0,top
C8,175.588553,-105.13699,90.0,top
C9,141.3,-77.0,270.0,top
D10,139.0,-103.7,0.0,top
D2,133.47,-109.41,180.0,top
D4,133.3,-99.8,270.0,top
D5,135.0,-99.8,270.0,top
D6,136.7,-99.8,270.0,top
D7,138.4,-99.8,270.0,top
IC1,165.89,-108.19,180.0,top
IC2,143.1,-73.8,180.0,top
IC3,165.88,-98.46,0.0,top
IC4,137.81,-97.03,0.0,top
J1,137.67,-116.88,0.0,top
J2,156.4,-76.6,0.0,top
J3,158.2,-76.6,0.0,top
J4,147.2802,-85.7077,180.0,top
J5,152.65,-85.7,180.0,top
M1,145.1,-75.6,90.0,top
M2,145.1,-72.6,90.0,top
Q1,157.1,-74.0,0.0,top
Q5,149.61,-79.7,270.0,top
Q6,142.1,-79.8,90.0,top
Q7,152.2,-79.7,90.0,top
Q8,159.8,-79.7,270.0,top
Q9,146.5,-91.9,180.0,top
R1,138.5,-107.8,90.0,top
R10,141.6,-82.2,180.0,top
R11,136.7,-101.7,90.0,top
R12,138.4,-101.7,90.0,top
R13,151.7,-82.2,180.0,top
R14,140.4,-100.48,0.0,top
R15,146.39,-89.5,0.0,top
R16,140.4,-101.45,0.0,top
R17,156.2,-87.0,180.0,top
R18,138.99,-104.85,0.0,top
R19,142.8,-95.09,180.0,top
R2,139.5,-107.8,90.0,top
R20,142.8,-94.09,0.0,top
R21,147.31,-79.0,180.0,top
R22,150.7,-65.0,0.0,top
R23,144.3,-80.6,0.0,top
R24,144.3,-68.0,90.0,top
R25,154.5,-80.5,0.0,top
R26,158.31,-68.08,90.0,top
R27,157.51,-78.9,180.0,top
R28,167.1,-74.5,0.0,top
R29,160.3,-77.2,0.0,top
R3,140.9,-108.2,180.0,top
R4,161.3,-107.4,180.0,top
R5,154.9,-73.2,90.0,top
R6,159.5,-75.0,90.0,top
R7,150.1,-77.3,0.0,top
R8,133.3,-101.7,90.0,top
R9,135.0,-101.7,90.0,top
SW1,164.05,-114.233665,0.0,top
U1,123.553553,-106.34699,0.0,top
U12,151.0,-104.0,180.0,top
U2,178.153553,-106.34699,180.0,top
U4,134.94,-105.82,90.0,top
U5,164.38,-102.52,90.0,top
U7,154.37,-91.09,90.0,top
